대학,연도,카테고리,전형,학과,경쟁률,시간서식의심,복원하면
가야대,2024,교과,교과(일반전형),부동산금융재테크학과,0.54,,
가야대,2024,교과,교과(일반전형),사회복지상담학과,0.65,,
가야대,2026,교과,교과(일반전형),자유전공학부,0.64,,
가톨릭관동대,2023,종합,종합(가톨릭지도자),국어교육과,0.5,,
가톨릭관동대,2023,종합,종합(가톨릭지도자),수학교육과,0.5,,
가톨릭관동대,2023,종합,종합(가톨릭지도자),지리교육과,0.5,,
가톨릭관동대,2023,종합,종합(가톨릭지도자),컴퓨터교육과,0.5,,
가톨릭관동대,2023,종합,종합(가톨릭지도자),트리니티자유대학,0.4,,
가톨릭관동대,2023,종합,종합(일반전형),트리니티자유대학,0.6,,
가톨릭관동대,2024,교과,교과(강원인재),건축공학전공,0.6,,
가톨릭관동대,2024,교과,교과(강원인재),디지털헬스케어전공,0.5,,
가톨릭관동대,2024,교과,교과(강원인재),바이오메디컬전공,0.6,,
가톨릭관동대,2024,교과,교과(강원인재),항공교통물류전공,0.3,,
가톨릭관동대,2024,교과,교과(강원인재),행정학전공,0.8,,
가톨릭관동대,2024,교과,교과(일반전형),디지털헬스케어전공,0.4,,
가톨릭관동대,2024,교과,교과(일반전형),바이오메디컬전공,0.6,,
가톨릭관동대,2024,교과,교과(일반전형),의료경영학전공,0.7,,
가톨릭관동대,2024,교과,교과(일반전형),항공교통물류전공,0.9,,
가톨릭관동대,2024,교과,교과(일반전형),행정학전공,0.9,,
가톨릭관동대,2024,종합,종합(가톨릭지도자),경찰행정학전공,0.7,,
가톨릭관동대,2024,종합,종합(가톨릭지도자),사회복지학전공,0.7,,
가톨릭관동대,2024,종합,종합(일반전형),건축공학전공,0.2,,
가톨릭관동대,2024,종합,종합(일반전형),광고홍보학전공,0.3,,
가톨릭관동대,2024,종합,종합(일반전형),디지털헬스케어전공,0.3,,
가톨릭관동대,2024,종합,종합(일반전형),실용음악전공,0.5,,
가톨릭관동대,2024,종합,종합(일반전형),의료경영학전공,0.3,,
가톨릭관동대,2024,종합,종합(일반전형),조리외식경영학전공,0.8,,
가톨릭관동대,2024,종합,종합(일반전형),항공교통물류전공,0.7,,
가톨릭관동대,2024,종합,종합(일반전형),항공정비학전공,0.7,,
가톨릭관동대,2024,종합,종합(일반전형),호텔관광경영학전공,0.5,,
가톨릭관동대,2025,교과,교과(지역인재),CG디자인전공,0.6,,
가톨릭관동대,2025,교과,교과(지역인재),경영학전공,0.8,,
가톨릭관동대,2025,교과,교과(지역인재),의료경영학전공,0.8,,
가톨릭관동대,2025,교과,교과(지역인재),의생명과학전공,0.6,,
가톨릭관동대,2025,교과,교과(지역인재),항공교통물류전공,0.8,,
가톨릭관동대,2025,종합,종합(가톨릭지도자),사회복지학전공,0.7,,
가톨릭관동대,2025,종합,종합(가톨릭지도자),영어교육과,0.5,,
가톨릭관동대,2025,종합,종합(가톨릭지도자),자율전공학부,0.6,,
가톨릭관동대,2025,종합,종합(지역인재),사회복지학전공,0.7,,
가톨릭관동대,2026,교과,교과(지역인재),의생명과학전공,0.6,,
가톨릭관동대,2026,교과,교과(지역인재),항공교통물류전공,0.8,,
가톨릭관동대,2026,종합,종합(가톨릭지도자),트리니티자유대학,0.6,,
가톨릭대,2023,종합,종합(가톨릭지도자),신학과,0.8,,
가톨릭대,2024,종합,종합(잠재능력-면접),신학과,0.94,,
강원대,2023,교과,교과(지역교과),기계시스템공학부,0.83,,
강원대,2023,교과,교과(지역교과),신소재공학과,0.92,,
강원대,2023,교과,교과(지역교과),에너지자원화학공학과,0.92,,
경남대,2023,교과,교과(한마인재),재난안전건설학과,0.8,,
경남대,2024,교과,교과(일반면접),재난안전건설학과,0.8,,
경남대,2025,교과,교과(일반면접),디지털공연영상학과,0.8,,
경남대,2025,교과,교과(일반면접),소방안전공학과,0.75,,
경남대,2025,교과,교과(일반면접),인공지능학과,0.75,,
경남대,2025,교과,교과(일반면접),제약공학과,0.5,,
경남대,2025,교과,교과(일반면접),행정학과,0.75,,
경동대,2023,교과,교과(일반전형),국제학부,0.5,,
경상국립대,2023,교과,교과(일반전형),환경산림과학부,0.93,,
경운대,2024,교과,교과(교과전형),소프트웨어융합계열(야),0.5,,
경운대,2024,교과,교과(면접),소프트웨어융합계열(야),0.2,,
경운대,2024,교과,교과(면접),항공시스템계열,0.79,,
경운대,2026,교과,교과(교과1),G커리어대학(야),0.1,,
경운대,2026,종합,종합(지역인재),소프트웨어학부,0.7,,
경운대,2026,종합,종합(창의인재),소프트웨어학부,0.6,,
경일대,2023,교과,교과(면접전형),글로벌비즈니스학부,0.8,,
