대학,연도,카테고리,원래전형,개명후전형,학과,모집,경쟁률,등급50,등급70
가톨릭관동대,2025,교과,교과(지균),교과(지역인재),간호학과,3,2,3.72,3.72
가톨릭관동대,2025,교과,교과(지역),교과(지역인재),간호학과,23,6.5,3.32,3.43
가톨릭관동대,2025,교과,교과(지균),교과(지역인재),의예과,3,2.3,,
가톨릭관동대,2025,교과,교과(지역),교과(지역인재),의예과,37,10.2,1.64,1.71
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),건축학과,3,4,,6.47
경성대,2024,종합,종합(학교생활),종합(학교생활),건축학과,7,8.43,,4.93
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),경영학과,9,4.67,,5.75
경성대,2024,종합,종합(학교생활),종합(학교생활),경영학과,17,7.12,,4.77
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),경찰행정학과,5,7.4,,5.14
경성대,2024,종합,종합(학교생활),종합(학교생활),경찰행정학과,9,12.11,,4.68
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),광고홍보학과,5,5,,5.13
경성대,2024,종합,종합(학교생활),종합(학교생활),광고홍보학과,8,9.88,,5.03
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),국제무역통상학과,5,5.2,,6.38
경성대,2024,종합,종합(학교생활),종합(학교생활),국제무역통상학과,9,5.11,,6.23
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),글로컬문화학부,8,2.63,,6.17
경성대,2024,종합,종합(학교생활),종합(학교생활),글로컬문화학부,15,3.2,,6.52
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),동물보건생명과학과,3,3.67,,6.46
경성대,2024,종합,종합(학교생활),종합(학교생활),동물보건생명과학과,6,9.17,,5.71
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),문헌정보학과,5,3.8,,4.58
경성대,2024,종합,종합(학교생활),종합(학교생활),문헌정보학과,9,4.89,,4.53
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),물리치료학과,5,18.8,,4.19
경성대,2024,종합,종합(학교생활),종합(학교생활),물리치료학과,6,27.17,,4.07
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),미디어커뮤니케이션학과,4,5,,5.35
경성대,2024,종합,종합(학교생활),종합(학교생활),미디어커뮤니케이션학과,8,8.63,,4.58
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),미디어콘텐츠학과,3,7,,3.11
경성대,2024,종합,종합(학교생활),종합(학교생활),미디어콘텐츠학과,5,13,,5.33
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),법학과,4,3.25,,5.59
경성대,2024,종합,종합(학교생활),종합(학교생활),법학과,8,3.25,,5.73
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),사회복지학과,5,6.4,,5.26
경성대,2024,종합,종합(학교생활),종합(학교생활),사회복지학과,11,11.82,,5.53
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),소프트웨어학과,4,3,,2.67
경성대,2024,종합,종합(학교생활),종합(학교생활),소프트웨어학과,8,3.25,,5.79
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),스마트바이오학과,3,2,,7.43
경성대,2024,종합,종합(학교생활),종합(학교생활),스마트바이오학과,6,3.67,,6.7
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),실내건축학과,3,4.67,,5.69
경성대,2024,종합,종합(학교생활),종합(학교생활),실내건축학과,6,6.5,,5
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),심리학과,5,7,,5.24
경성대,2024,종합,종합(학교생활),종합(학교생활),심리학과,7,11.57,,5.27
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),영상애니메이션학부,5,6,,4.67
경성대,2024,종합,종합(학교생활),종합(학교생활),영상애니메이션학부,5,8,,4.71
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),외식서비스경영학전공,3,5.67,,5.46
경성대,2024,종합,종합(학교생활),종합(학교생활),외식서비스경영학전공,5,11.6,,5.76
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),유아교육과,3,6.67,,4.56
경성대,2024,종합,종합(학교생활),종합(학교생활),유아교육과,5,13.6,,4.32
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),인문문화학부,9,2.22,,6.35
경성대,2024,종합,종합(학교생활),종합(학교생활),인문문화학부,15,3.4,,5.79
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),제약공학과,3,2,,4.84
경성대,2024,종합,종합(학교생활),종합(학교생활),제약공학과,6,4.67,,6.7
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),컴퓨터공학과,4,4.25,,5.52
경성대,2024,종합,종합(학교생활),종합(학교생활),컴퓨터공학과,8,8.88,,5.8
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),패션디자인학과,5,6.2,,5.87
경성대,2024,종합,종합(학교생활),종합(학교생활),패션디자인학과,9,8.33,,5.1
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),호텔관광경영학전공,3,4.33,,5.7
경성대,2024,종합,종합(학교생활),종합(학교생활),호텔관광경영학전공,5,10.2,,6.03
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),화장품학과,3,3.33,,5.64
경성대,2024,종합,종합(학교생활),종합(학교생활),화장품학과,6,5.33,,4.08
경성대,2024,종합,종합(지역Ⅱ),종합(학교생활),회계학과,5,3,,4.9
경성대,2024,종합,종합(학교생활),종합(학교생활),회계학과,9,3,,5.15
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),건축학과,3,6.33,5.75,5.79
경성대,2025,종합,종합(학교생활),종합(학교생활),건축학과,6,7.67,5.41,5.45
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),경영학과,9,6.89,5.42,5.63
경성대,2025,종합,종합(학교생활),종합(학교생활),경영학과,17,5.06,4.82,5.8
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),경찰행정학과,5,12,4.89,5.06
경성대,2025,종합,종합(학교생활),종합(학교생활),경찰행정학과,9,10.33,5.11,5.23
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),광고홍보학과,5,5.8,5.2,5.48
경성대,2025,종합,종합(학교생활),종합(학교생활),광고홍보학과,10,6.2,5.18,5.38
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),국제무역통상학과,5,5.2,5.25,5.25
경성대,2025,종합,종합(학교생활),종합(학교생활),국제무역통상학과,9,4.78,6,6.31
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),글로컬문화학부,8,3.88,5.72,6
경성대,2025,종합,종합(학교생활),종합(학교생활),글로컬문화학부,15,3.2,6.47,6.64
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),동물보건생명과학과,2,12.5,5.62,5.62
경성대,2025,종합,종합(학교생활),종합(학교생활),동물보건생명과학과,5,11.8,5.03,5.47
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),문헌정보학과,5,3,3.92,4.44
경성대,2025,종합,종합(학교생활),종합(학교생활),문헌정보학과,9,3.78,4.74,5.12
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),물리치료학과,5,17.2,4.41,4.41
경성대,2025,종합,종합(학교생활),종합(학교생활),물리치료학과,6,12.5,4.13,4.16
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),미디어커뮤니케이션학과,4,12.5,4.47,4.47
경성대,2025,종합,종합(학교생활),종합(학교생활),미디어커뮤니케이션학과,8,10.75,4.38,4.41
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),미디어콘텐츠학과,3,5.33,3.06,3.83
경성대,2025,종합,종합(학교생활),종합(학교생활),미디어콘텐츠학과,7,7.57,3.76,4.4
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),법학과,4,4.5,4.72,4.72
경성대,2025,종합,종합(학교생활),종합(학교생활),법학과,8,3.5,5.93,6.46
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),사회복지학과,6,7.5,5.24,5.31
경성대,2025,종합,종합(학교생활),종합(학교생활),사회복지학과,12,7.92,5.22,5.38
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),식품영양학과,4,4.75,5.94,5.94
경성대,2025,종합,종합(학교생활),종합(학교생활),식품영양학과,7,6.71,4.56,5.93
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),실내건축학과,3,8,4.71,5.53
경성대,2025,종합,종합(학교생활),종합(학교생활),실내건축학과,6,6.33,5.5,5.61
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),심리학과,5,5,5.19,5.35
경성대,2025,종합,종합(학교생활),종합(학교생활),심리학과,9,5.89,5.24,5.49
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),영상애니메이션학부,5,6.8,3.96,4.32
경성대,2025,종합,종합(학교생활),종합(학교생활),영상애니메이션학부,5,10,2.76,3.05
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),외식서비스경영학전공,3,5.67,3.38,3.58
경성대,2025,종합,종합(학교생활),종합(학교생활),외식서비스경영학전공,6,5.83,6.13,6.33
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),유아교육과,3,6,4.59,4.69
경성대,2025,종합,종합(학교생활),종합(학교생활),유아교육과,5,7.6,4.31,4.52
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),인문문화학부,9,3.67,5.16,5.41
경성대,2025,종합,종합(학교생활),종합(학교생활),인문문화학부,15,3.47,5.77,5.95
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),컴퓨터공학과,4,7.25,5.08,5.08
경성대,2025,종합,종합(학교생활),종합(학교생활),컴퓨터공학과,8,7.5,5.7,5.97
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),패션디자인학과,5,6,5.47,5.71
경성대,2025,종합,종합(학교생활),종합(학교생활),패션디자인학과,10,7.2,5.56,5.71
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),호텔관광경영학전공,3,7.67,3.15,3.25
경성대,2025,종합,종합(학교생활),종합(학교생활),호텔관광경영학전공,6,9.33,3.6,3.67
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),화장품학과,3,3.67,5.24,5.97
경성대,2025,종합,종합(학교생활),종합(학교생활),화장품학과,6,3.5,5.32,5.34
경성대,2025,종합,종합(지역Ⅱ),종합(학교생활),회계학과,5,3.8,3.8,3.96
경성대,2025,종합,종합(학교생활),종합(학교생활),회계학과,9,3.22,4.73,5.6
경일대,2026,종합,교과(계약학과),교과(계약학과),방위산업시스템학과,10,,,
